idx,x,y,z,heading_deg,gimbal_pitch_deg,action
69,84.7508521936963,34.88999999999999,222.66233766233765,0.0,-90.0,photo
70,93.0868521936963,34.88999999999999,222.66233766233762,0.0,-90.0,photo
71,101.42285219369629,34.88999999999999,222.66233766233762,0.0,-90.0,photo
72,109.7588521936963,34.88999999999999,222.66233766233765,0.0,-90.0,photo
73,118.09485219369628,34.88999999999999,222.66233766233762,0.0,-90.0,photo
74,126.4308521936963,34.88999999999999,222.66233766233765,0.0,-90.0,photo
75,134.76685219369628,34.88999999999999,222.66233766233765,0.0,-90.0,photo
76,143.10285219369626,34.88999999999999,222.66233766233762,0.0,-90.0,photo
77,151.43885219369628,34.88999999999999,222.66233766233765,0.0,-90.0,photo
78,159.7748521936963,34.88999999999999,222.66233766233765,0.0,-90.0,photo
79,168.11085219369627,34.88999999999999,222.66233766233765,0.0,-90.0,photo
80,176.44685219369626,34.88999999999999,222.66233766233765,0.0,-90.0,photo
81,184.78285219369627,34.88999999999999,222.66233766233762,0.0,-90.0,photo
82,193.11885219369628,34.88999999999999,222.66233766233765,0.0,-90.0,photo
83,201.45485219369627,34.88999999999999,222.66233766233765,0.0,-90.0,photo
84,209.79085219369625,34.88999999999999,222.66233766233765,0.0,-90.0,photo
85,217.19706425249413,53.645999999999994,222.66233766233765,180.0,-90.0,photo
86,208.86106425249415,53.645999999999994,222.66233766233765,180.0,-90.0,photo
87,200.52506425249413,53.645999999999994,222.66233766233765,180.0,-90.0,photo
88,192.18906425249415,53.645999999999994,222.66233766233765,180.0,-90.0,photo
89,183.85306425249416,53.645999999999994,222.66233766233765,180.0,-90.0,photo
90,175.51706425249415,53.645999999999994,222.66233766233765,180.0,-90.0,photo
91,167.18106425249414,53.645999999999994,222.66233766233768,180.0,-90.0,photo
92,158.84506425249415,53.645999999999994,222.66233766233765,180.0,-90.0,photo
93,150.50906425249417,53.645999999999994,222.66233766233765,180.0,-90.0,photo
94,142.17306425249416,53.645999999999994,222.66233766233765,180.0,-90.0,photo
95,133.83706425249414,53.645999999999994,222.66233766233765,180.0,-90.0,photo
96,125.50106425249416,53.645999999999994,222.66233766233765,180.0,-90.0,photo
97,117.16506425249416,53.645999999999994,222.66233766233762,180.0,-90.0,photo
98,108.82906425249416,53.645999999999994,222.66233766233765,180.0,-90.0,photo
99,100.49306425249416,53.645999999999994,222.66233766233765,180.0,-90.0,photo
100,92.15706425249417,53.645999999999994,222.66233766233765,180.0,-90.0,photo
101,83.82106425249417,53.645999999999994,222.66233766233765,180.0,-90.0,photo
102,75.48506425249417,53.645999999999994,222.66233766233762,180.0,-90.0,photo
103,67.14906425249418,53.645999999999994,222.66233766233765,180.0,-90.0,photo
104,58.81306425249418,53.645999999999994,222.66233766233762,180.0,-90.0,photo
105,50.47706425249418,53.645999999999994,222.66233766233765,180.0,-90.0,photo
106,42.14106425249418,53.645999999999994,222.66233766233765,180.0,-90.0,photo
107,33.805064252494184,53.645999999999994,222.66233766233762,180.0,-90.0,photo
108,25.469064252494185,53.645999999999994,222.66233766233765,180.0,-90.0,photo
109,17.133064252494187,53.645999999999994,222.66233766233762,180.0,-90.0,photo
110,8.797064252494195,53.645999999999994,222.66233766233765,180.0,-90.0,photo
111,0.4610642524941966,53.645999999999994,222.66233766233765,180.0,-90.0,photo
112,-7.874935747505802,53.645999999999994,222.66233766233765,180.0,-90.0,photo
113,-14.706066051346625,72.40199999999999,222.66233766233765,0.0,-90.0,photo
114,-6.370066051346626,72.40199999999999,222.66233766233765,0.0,-90.0,photo
115,1.9659339486533725,72.40199999999999,222.66233766233765,0.0,-90.0,photo
116,10.301933948653371,72.40199999999999,222.66233766233765,0.0,-90.0,photo
117,18.63793394865337,72.40199999999999,222.66233766233765,0.0,-90.0,photo
118,26.973933948653368,72.40199999999999,222.66233766233765,0.0,-90.0,photo
119,35.30993394865337,72.40199999999999,222.66233766233765,0.0,-90.0,photo
120,43.645933948653365,72.40199999999999,222.66233766233765,0.0,-90.0,photo
121,51.981933948653364,72.40199999999999,222.66233766233762,0.0,-90.0,photo
122,60.31793394865336,72.40199999999999,222.66233766233765,0.0,-90.0,photo
123,68.65393394865336,72.40199999999999,222.66233766233765,0.0,-90.0,photo
124,76.98993394865336,72.40199999999999,222.66233766233765,0.0,-90.0,photo
125,85.32593394865336,72.40199999999999,222.66233766233765,0.0,-90.0,photo
126,93.66193394865334,72.40199999999999,222.66233766233765,0.0,-90.0,photo
127,101.99793394865335,72.40199999999999,222.66233766233765,0.0,-90.0,photo
128,110.33393394865334,72.40199999999999,222.66233766233765,0.0,-90.0,photo
129,118.66993394865335,72.40199999999999,222.66233766233765,0.0,-90.0,photo
130,127.00593394865334,72.40199999999999,222.66233766233765,0.0,-90.0,photo
131,135.34193394865335,72.40199999999999,222.66233766233765,0.0,-90.0,photo
132,143.67793394865333,72.40199999999999,222.66233766233765,0.0,-90.0,photo
133,152.01393394865335,72.40199999999999,222.66233766233765,0.0,-90.0,photo
134,160.34993394865333,72.40199999999999,222.66233766233765,0.0,-90.0,photo
135,168.68593394865331,72.40199999999999,222.66233766233765,0.0,-90.0,photo
136,177.02193394865333,72.40199999999999,222.66233766233765,0.0,-90.0,photo
137,185.35793394865334,72.40199999999999,222.66233766233765,0.0,-90.0,photo
138,193.69393394865332,72.40199999999999,222.66233766233762,0.0,-90.0,photo
139,202.0299339486533,72.40199999999999,222.66233766233765,0.0,-90.0,photo
140,210.36593394865332,72.40199999999999,222.66233766233765,0.0,-90.0,photo
141,216.78264231846714,91.15799999999999,222.66233766233768,180.0,-90.0,photo
142,208.44664231846716,91.15799999999999,222.66233766233762,180.0,-90.0,photo
143,200.11064231846717,91.15799999999999,222.66233766233765,180.0,-90.0,photo
144,191.77464231846716,91.15799999999999,222.66233766233768,180.0,-90.0,photo
145,183.43864231846715,91.15799999999999,222.66233766233765,180.0,-90.0,photo
146,175.10264231846716,91.15799999999999,222.66233766233768,180.0,-90.0,photo
147,166.76664231846718,91.15799999999999,222.66233766233768,180.0,-90.0,photo
148,158.43064231846716,91.15799999999999,222.66233766233765,180.0,-90.0,photo
149,150.09464231846715,91.15799999999999,222.66233766233765,180.0,-90.0,photo
150,141.75864231846717,91.15799999999999,222.66233766233765,180.0,-90.0,photo
151,133.42264231846718,91.15799999999999,222.66233766233765,180.0,-90.0,photo
152,125.08664231846717,91.15799999999999,222.66233766233765,180.0,-90.0,photo
153,116.75064231846717,91.15799999999999,222.66233766233768,180.0,-90.0,photo
154,108.41464231846717,91.15799999999999,222.66233766233765,180.0,-90.0,photo
155,100.07864231846717,91.15799999999999,222.66233766233765,180.0,-90.0,photo
156,91.74264231846718,91.15799999999999,222.66233766233765,180.0,-90.0,photo
157,83.40664231846718,91.15799999999999,222.66233766233762,180.0,-90.0,photo
158,75.07064231846718,91.15799999999999,222.66233766233765,180.0,-90.0,photo
159,66.7346423184672,91.15799999999999,222.66233766233768,180.0,-90.0,photo
160,58.39864231846719,91.15799999999999,222.66233766233765,180.0,-90.0,photo
161,50.06264231846719,91.15799999999999,222.66233766233765,180.0,-90.0,photo
162,41.72664231846719,91.15799999999999,222.66233766233765,180.0,-90.0,photo
163,33.390642318467194,91.15799999999999,222.66233766233768,180.0,-90.0,photo
164,25.054642318467195,91.15799999999999,222.66233766233768,180.0,-90.0,photo
165,16.718642318467197,91.15799999999999,222.66233766233768,180.0,-90.0,photo
166,8.382642318467205,91.15799999999999,222.66233766233762,180.0,-90.0,photo
167,0.04664231846720668,91.15799999999999,222.66233766233762,180.0,-90.0,photo
168,-8.289357681532792,91.15799999999999,222.66233766233765,180.0,-90.0,photo
169,-14.130984296389556,109.91399999999999,222.66233766233765,0.0,-90.0,photo
170,-5.794984296389558,109.91399999999999,222.66233766233765,0.0,-90.0,photo
171,2.541015703610441,109.91399999999999,222.66233766233765,0.0,-90.0,photo
172,10.87701570361044,109.91399999999999,222.66233766233765,0.0,-90.0,photo
173,19.213015703610438,109.91399999999999,222.66233766233765,0.0,-90.0,photo
174,27.549015703610436,109.91399999999999,222.66233766233765,0.0,-90.0,photo
175,35.885015703610435,109.91399999999999,222.66233766233765,0.0,-90.0,photo
176,44.22101570361043,109.91399999999999,222.66233766233765,0.0,-90.0,photo
177,52.55701570361043,109.91399999999999,222.66233766233765,0.0,-90.0,photo
178,60.89301570361043,109.91399999999999,222.66233766233765,0.0,-90.0,photo
179,69.22901570361043,109.91399999999999,222.66233766233765,0.0,-90.0,photo
180,77.56501570361043,109.91399999999999,222.66233766233765,0.0,-90.0,photo
181,85.90101570361043,109.91399999999999,222.66233766233765,0.0,-90.0,photo
182,94.23701570361041,109.91399999999999,222.66233766233765,0.0,-90.0,photo
183,102.57301570361042,109.91399999999999,222.66233766233765,0.0,-90.0,photo
184,110.90901570361041,109.91399999999999,222.66233766233765,0.0,-90.0,photo
185,119.24501570361042,109.91399999999999,222.66233766233765,0.0,-90.0,photo
186,127.5810157036104,109.91399999999999,222.66233766233765,0.0,-90.0,photo
187,135.91701570361042,109.91399999999999,222.66233766233765,0.0,-90.0,photo
188,144.2530157036104,109.91399999999999,222.66233766233765,0.0,-90.0,photo
189,152.58901570361041,109.91399999999999,222.66233766233765,0.0,-90.0,photo
190,160.9250157036104,109.91399999999999,222.66233766233765,0.0,-90.0,photo
191,169.26101570361038,109.91399999999999,222.66233766233765,0.0,-90.0,photo
192,177.5970157036104,109.91399999999999,222.66233766233765,0.0,-90.0,photo
193,185.9330157036104,109.91399999999999,222.66233766233765,0.0,-90.0,photo
194,194.2690157036104,109.91399999999999,222.37631361019575,0.0,-90.0,photo
195,202.60501570361038,109.91399999999999,221.59953225968525,0.0,-90.0,photo
196,210.9410157036104,109.91399999999999,220.36739476220077,0.0,-90.0,photo
197,208.0322203844402,128.67,211.8738190950606,180.0,-90.0,photo
198,199.6962203844402,128.67,213.3386946873718,180.0,-90.0,photo
199,191.3602203844402,128.67,215.05924182237408,180.0,-90.0,photo
200,183.02422038444018,128.67,216.9824532108409,180.0,-90.0,photo
201,174.6882203844402,128.67,218.914329260461,180.0,-90.0,photo
202,166.35222038444022,128.67,220.82654597123442,180.0,-90.0,photo
203,158.0162203844402,128.67,222.66233766233765,180.0,-90.0,photo
204,149.6802203844402,128.67,222.66233766233765,180.0,-90.0,photo
205,141.3442203844402,128.67,222.66233766233765,180.0,-90.0,photo
